file,lines,category,snippet,ibkr_action,ibkr_note
main.py,24-30,IG epic dot-segment dedup logic; IG epic identifier; IG universe tooling,"UNIVERSE_PATH = os.path.join(""data"", ""input"", ""universe.json"")",VERIFY,"UNIVERSE_PATH constant is unchanged; verify that universe.json is repopulated with IBKR canonical symbol strings (e.g. 'DAX', 'EURUSD') replacing IG epics before running under IBKR."
main.py,41-42,IG universe tooling,"            ""Run diagnostic_tools/refresh_universe.py to populate it, """,REWRITE,"Replace the user-facing error text referencing 'refresh_universe.py' with: 'Populate data/input/universe.json manually with IBKR canonical symbol strings (e.g. [""DAX"",""EURUSD""])'; the IG universe-refresh tooling has no IBKR equivalent."
main.py,54-61,IG epic dot-segment dedup logic; IG epic identifier; IG universe tooling,"            ""Run diagnostic_tools/refresh_universe.py (or use --refresh-universe) to populate it.""",REWRITE,"Replace the error text referencing 'diagnostic_tools/refresh_universe.py' and '--refresh-universe' with: 'Populate data/input/universe.json manually with IBKR canonical symbol strings (e.g. [""DAX"",""EURUSD""])'."
main.py,65-76,IG epic dot-segment dedup logic; IG epic format; IG epic identifier; IG universe tooling,"                f""WARNING: universe.json contains invalid instrument '{epic}' — skipping. """,REWRITE,"Remove the dot-segment dedup logic that splits on '.' and deduplicates by the first three segments (e.g. 'IX.D.FTSE' from 'IX.D.FTSE.DAILY.IP'). Replace with a plain seen-set check on the full instrument_id string; IBKR canonical symbols (e.g. 'DAX', 'EURUSD') contain no dots and the dedup will silently drop all but one."
main.py,81,IG broker config key,"    print(""Tradinator could not start because broker credentials are not configured."")",VERIFY,Message 'Tradinator could not start because broker credentials are not configured.' is broker-agnostic; verify this function is also invoked for IBKR credential errors (missing IBKR_HOST etc.) so users see the same setup guidance.
main.py,85,IG broker config key,"    print(""2. Fill in the required credentials for your broker (default: IG)"")",REPLACE,Change the print string from '2. Fill in the required credentials for your broker (default: IG)' to '2. Fill in the required credentials for your broker -- see secrets/.env.example for both IG and IBKR credential keys'.
main.py,89,IG credentials/SDK import; IG error handling,def _print_ig_authentication_error(error: RuntimeError) -> None:,ADD,"Add a parallel function _print_ibkr_connection_error(error: RuntimeError) -> None immediately after _print_ig_authentication_error. Body: print('Tradinator could not connect to IBKR.'); print(str(error)); print('Next steps:'); print('1. Start TWS or IB Gateway and confirm it listens on port 4002 (paper trading).'); print('2. Verify IBKR_HOST=127.0.0.1, IBKR_PORT=4002, IBKR_CLIENT_ID=1 in secrets/.env.'); print('3. Ensure no other session is using the same IBKR_CLIENT_ID.')."
main.py,94-96,IG DEMO account enforcement; IG credentials env var; IG credentials/SDK import,"    print(""1. Verify IG_USERNAME is your IG login identifier, not your account number"")",NO_CHANGE_ADAPTER_HANDLES,"These print steps are inside _print_ig_authentication_error, which is only invoked for the IG-specific 'validation.pattern.invalid' RuntimeError (see main.py line 252); IBKR connection errors route to the new _print_ibkr_connection_error handler."
main.py,132,IG universe tooling,"        dest=""refresh_universe"",",EXTEND,"Add a guard at the top of _run_refresh_universe: if _config.get('broker', 'ig') == 'ibkr': print('[main] refresh_universe is not supported for IBKR -- skipping.'); return False. This prevents the IG-only script from running when broker=ibkr."
main.py,137-138,IG universe tooling,"            ""and rewrites universe_candidates.json and universe.json. """,REPLACE,Append '(IG only; silently skipped when broker=ibkr)' to the --refresh-universe argparse help text so users know the flag has no effect under IBKR.
main.py,144-147,IG universe tooling,def _run_refresh_universe(_config: dict) -> bool:,EXTEND,"Add 'if _config.get(""broker"", ""ig"") == ""ibkr"": print(""[main] refresh_universe not supported for IBKR -- skipping.""); return False' as the first statement in _run_refresh_universe (before the module-load block at line 156)."
main.py,152,IG universe tooling,    False case the existing universe.json on disk is used unchanged.,REPLACE,Update the docstring of _run_refresh_universe to append: 'Always returns False immediately when broker=ibkr; this tool is IG-only.'
main.py,156-160,IG universe tooling,"        ""diagnostic_tools"", ""refresh_universe.py"",",NO_CHANGE_ADAPTER_HANDLES,This module-loading block executes only after the broker guard in _run_refresh_universe has been passed; for IBKR it is never reached. No change needed.
